MI_ID,Income_Source,Expected_Amount,Actual_Amount,MI_Date,difference
1000,Allowance,1200,1100,4/27/2026,-100
1001,Gift (Minenhle),0,500,4/27/2026,500
1002,IT_Warrior (Salary),30000,33000,5/6/2026,3000
1003,Salary,25000,25250,1/1/2026,250
1004,Freelance Web Design,4500,4700,1/3/2026,200
1005,YouTube Revenue,1800,1650,1/5/2026,-150
1006,Online Course Sales,3200,3400,1/6/2026,200
1007,Stock Dividends,900,870,1/8/2026,-30
1008,Rental Income,7000,7000,1/10/2026,0
1009,Graphic Design Gig,2200,2500,1/12/2026,300
1010,Affiliate Marketing,1500,1420,1/14/2026,-80
1011,Consulting,5000,5200,1/15/2026,200
1012,Part-Time Tutoring,2100,1900,1/17/2026,-200
1013,Photography,3000,3150,1/18/2026,150
1014,Mobile App Sales,4100,4000,1/19/2026,-100
1015,Bonus Payment,3500,3600,1/20/2026,100
1016,Crypto Trading,2600,2400,1/21/2026,-200
1017,E-book Sales,1200,1350,1/22/2026,150
1018,Music Streaming,800,760,1/23/2026,-40
1019,Dropshipping Store,5400,5600,1/24/2026,200
1020,Event Hosting,2800,2700,1/25/2026,-100
1021,Software Licensing,6000,6300,1/26/2026,300
1022,Fitness Coaching,2400,2500,1/27/2026,100
1023,Salary,25000,24800,2/1/2026,-200
1024,Freelance Writing,4000,4200,2/3/2026,200
1025,YouTube Revenue,1900,2100,2/5/2026,200
1026,Online Course Sales,3500,3600,2/6/2026,100
1027,Stock Dividends,950,920,2/8/2026,-30
1028,Rental Income,7000,7000,2/10/2026,0
1029,Graphic Design Gig,2500,2450,2/12/2026,-50
1030,Affiliate Marketing,1700,1800,2/14/2026,100
1031,Consulting,5200,5000,2/15/2026,-200
1032,Part-Time Tutoring,2200,2300,2/17/2026,100
1033,Photography,3100,3200,2/18/2026,100
1034,Mobile App Sales,4300,4400,2/19/2026,100
1035,Bonus Payment,3600,3500,2/20/2026,-100
1036,Crypto Trading,2800,3000,2/21/2026,200
1037,E-book Sales,1400,1450,2/22/2026,50
1038,Music Streaming,850,900,2/23/2026,50
1039,Dropshipping Store,5600,5800,2/24/2026,200
1040,Event Hosting,2900,3100,2/25/2026,200
1041,Software Licensing,6200,6400,2/26/2026,200
1042,Fitness Coaching,2500,2600,2/27/2026,100
1043,Salary,25000,25500,3/1/2026,500
1044,Freelance Web Design,4700,4600,3/3/2026,-100
1045,YouTube Revenue,2100,2200,3/5/2026,100
1046,Online Course Sales,3700,3900,3/6/2026,200
1047,Stock Dividends,1000,980,3/8/2026,-20
1048,Rental Income,7000,7100,3/10/2026,100
1049,Graphic Design Gig,2600,2750,3/12/2026,150
1050,Affiliate Marketing,1800,1750,3/14/2026,-50
1051,Consulting,5400,5600,3/15/2026,200
1052,Part-Time Tutoring,2300,2250,3/17/2026,-50
